move,text_entry
bolt-beak,"The user stabs the target with its electrified beak. If the user attacks before the target, the power of this move is doubled."
block,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.  The target may still escape by using baton pass, u turn, or a shed shell.  Both the user and the target pass on this effect with baton pass."
flower-shield,Raises the Defense of all grass Pokémon in battle.
flash,Lowers the target's accuracy by one stage.
wish,"At the end of the next turn, user will be healed for half its max HP.  If the user is switched out, its replacement will be healed instead for half of the user's max HP.  If the user faints or is forcefully switched by roar or whirlwind, this effect will not activate."
mind-blown,"Inflicts damage, and the user takes damage equal to half of its max HP, rounded up. The user still takes damage if the move is blocked by Protect or Substitute, misses, or if the target has Flash Fire."
sludge,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.
tail-glow,Raises the user's Special Attack by three stages.
dual-wingbeat,Inflicts regular damage.
snarl,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Attack by one stage.
sonic-boom,Inflicts exactly 20 damage.
teleport,Does nothing.  Wild battles end immediately.
minimize,Raises the user's evasion by two stages.  stomp and steamroller have double power against Pokémon that have used this move since entering the field.
blizzard,"Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.  During hail, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect."
head-smash,Inflicts regular damage.  User takes 1/2 the damage it inflicts in recoil.
secret-sword,"Inflicts regular damage.  Damage calculation always uses the target's Defense, regardless of this move's damage class."
bulldoze,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Speed by one stage.
powder-snow,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.
tri-attack,"Inflicts regular damage.  Has a $effect_chance% chance to burn, freeze, or paralyze the target.  One of these effects is selected at random; they do not each have independent chances to occur."
fling,"Inflicts regular damage.  Power and type are determined by the user's held item.  The item is consumed.  If the user is not holding an item, or its item has no set type and power, this move will fail.  This move ignores sticky hold.  If the user is under the effect of embargo, this move will fail."
scald,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.
brick-break,"Destroys any light screen or reflect on the target's side of the field, then inflicts regular damage."
swallow,"Heals the user depending on the amount of energy stored by stockpile: 1/4 its max HP after one use, 1/2 its max HP after two uses, or fully after three uses.  Stored energy is consumed, and the user's Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail."
techno-blast,"Inflicts regular damage.  If the user is holding a plate or a drive, this move's type is the type corresponding to that item.  Note: This effect is technically shared by both techno blast and judgment; however, Techno Blast is only affected by drives, and Judgment is only affected by plates."
leer,Lowers the target's Defense by one stage.
haze,"Removes stat, accuracy, and evasion modifiers from every Pokémon on the field.  This does not count as a stat reduction for the purposes of clear body or white smoke."
dragon-rage,Inflicts exactly 40 damage.
synthesis,"Heals the user for half its max HP.  During sunny day, the healing is increased to 2/3 max HP.  During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP."
thousand-waves,Inflicts regular damage.  Traps the target.
astonish,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
anchor-shot,Inflicts regular damage.  Traps the target.
arm-thrust,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
skull-bash,Inflicts regular damage.  Raises the user's Defense by one stage.  User then charges for one turn before attacking.  This move cannot be selected by sleep talk.
water-shuriken,Inflicts regular damage.  Hits 2–5 times.
dragon-ascent,"Inflicts regular damage, then lowers the user's Defense and Special Defense by one stage each."
plasma-fists,Inflicts regular damage.
misty-terrain,"For five turns, protects all Pokémon on the ground from major status ailments and confusion and weakens dragon moves used against them to 0.5× their power.  Changes nature power to moonblast."
ice-shard,Inflicts regular damage.
grassy-glide,Inflicts regular damage.
drum-beating,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Speed by one stage.
blaze-kick,Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a $effect_chance% chance to burn the target.
rising-voltage,Inflicts regular damage.
mirror-coat,"Targets the last opposing Pokémon to hit the user with a special move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.  This move cannot be copied by mirror move, nor selected by assist or metronome."
crafty-shield,"Protects all friendly Pokémon from non-damaging moves for the rest of the turn.  Unlike other blocking moves, this move may be used consecutively without its chance of success falling."
quiver-dance,"Raises the user's Special Attack, Special Defense, and Speed by one stage each."
encore,"The next 4–8 times (selected at random) the target attempts to move, it is forced to repeat its last used move.  If the selected move allows the trainer to select a target, an opponent will be selected at random each turn.  If the target is prevented from using the selected move by some other effect, struggle will be used instead.  This effect ends if the selected move runs out of PP.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, if it does not know the selected move, or if the selected move has 0 PP remaining, this move will fail.  If the target's last used move was encore, mimic, mirror move, sketch, struggle, or transform, this move will fail."
wing-attack,Inflicts regular damage.
fiery-dance,Inflicts regular damage.  Has a $effect_chance% chance to raise the user's Special Attack by one stage.
fissure,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.  Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.  The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
soak,"Changes the target to pure water-type until it leaves the field.  If the target has multitype, this move will fail."
thief,"Inflicts regular damage.  If the target is holding an item and the user is not, the user will permanently take the item.  Damage is still inflicted if an item cannot be taken.  Pokémon with sticky hold or multitype are immune to the item theft effect.  The target cannot recover its item with recycle.  This move cannot be selected by assist or metronome."
heart-swap,User swaps its stat modifiers with the target.
flare-blitz,"Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.  Has a $effect_chance% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw."
v-create,"Inflicts regular damage.  Lowers the user's Defense, Special Defense, and Speed by one stage each."
false-swipe,Inflicts regular damage.  Will not reduce the target's HP below 1.
smelling-salts,"Inflicts regular damage.  If the target is paralyzed, this move has double power, and the target is cured of its paralysis."
sand-attack,Lowers the target's accuracy by one stage.
body-press,"The user attacks by slamming its body into the target. The higher the user’s Defense, the more damage it can inflict on the target."
magnetic-flux,Raises the Defense and Special Defense of all friendly Pokémon with plus or minus by one stage.
sludge-bomb,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.
ember,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.
rototiller,Raises the Attack and Special Attack of all grass Pokémon in battle.
comet-punch,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
growl,Lowers the target's Attack by one stage.
water-pulse,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.
tickle,Lowers the target's Attack and Defense by one stage.
heavy-slam,"Inflicts regular damage.  The greater the user's weight compared to the target's, the higher power this move has, to a maximum of 120.  User's weight                    | Power -------------------------------- | ----: Up to 2× the target's weight     |    40 Up to 3× the target's weight     |    60 Up to 4× the target's weight     |    80 Up to 5× the target's weight     |   100 More than 5× the target's weight |   120 "
heart-stamp,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
fury-cutter,"Inflicts regular damage.  Power doubles after every time this move is used, whether consecutively or not, maxing out at 16x.  If this move misses or the user leaves the field, power resets."
stun-spore,Paralyzes the target.
confide,Lowers the target's Special Attack by one stage.
eternabeam,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
night-shade,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored."
magnet-rise,"For five turns, the user is immune to ground moves.  If the user is under the effect of ingrain or has levitate, this move will fail.  This effect is temporarily disabled by and cannot be used during gravity.  This effect is passed on by baton pass."
horn-attack,Inflicts regular damage.
submission,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.
detect,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.  If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.  lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.  thunder during rain dance and blizzard during hail have a 30% chance to break through this move.  The following effects are not prevented by this move:  * acupressure from an ally * curse's curse effect * Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn * feint, which will also end this move's protection after it hits * imprison * perish song * shadow force * Moves that merely copy the user, such as transform or psych up  This move cannot be selected by assist or metronome."
smokescreen,Lowers the target's accuracy by one stage.
earth-power,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.
mat-block,Protects all friendly Pokémon from damaging moves.  Only works on the first turn after the user is sent out.
acrobatics,"Inflicts regular damage.  If the user has no held item, this move has double power."
baneful-bunker,"Grants the user protection for the rest of the turn.  If a Pokémon attempts to use a move that makes contact with the user, that Pokémon will be poisoned.  This move's chance of success halves every time it's used consecutively with any other protection move."
coil,"Raises the user's Attack, Defense, and accuracy by one stage each."
phantom-force,"Inflicts regular damage.  User vanishes for one turn, becoming immune to attack, and hits on the second turn.  This move ignores the effects of detect and protect.  This move cannot be selected by sleep talk."
circle-throw,"Inflicts regular damage, then switches the target out for another of its trainer's Pokémon, selected at random.  If the target is under the effect of ingrain or suction cups, or it has a substitute, or its Trainer has no more usable Pokémon, it will not be switched out.  If the target is a wild Pokémon, the battle ends instead."
misty-explosion,Inflicts regular damage.
will-o-wisp,Burns the target.
constrict,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Speed by one stage.
wild-charge,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.
whirlpool,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  If the target is in the first turn of dive, this move will hit with double power."
psycho-cut,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
icicle-crash,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
splash,Does nothing.  This move cannot be used while gravity is in effect.
wicked-blow,Inflicts regular damage.
mud-sport,"electric moves inflict half damage, regardless of target.  If the user leaves the field, this effect ends."
aeroblast,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
horn-leech,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
destiny-bond,"If the user faints before its next move, the Pokémon that fainted it will automatically faint.  End-of-turn damage is ignored.  This move cannot be selected by assist or metronome."
fire-fang,Inflicts regular damage.  Has a $effect_chance% chance to burn the target and a separate $effect_chance% chance to make the target flinch.
natural-gift,"Inflicts regular damage.  Power and type are determined by the user's held berry.  The berry is consumed.  If the user is not holding a berry, this move will fail."
mud-shot,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Speed by one stage.
roar,Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.  Doesn't affect Pokémon with suction cups or under the effect of ingrain.
shell-trap,"Inflicts regular damage.  If the user was not yet hit by an opponent's physical move this turn, this move will fail."
ice-punch,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.
power-split,"Averages the user's unmodified Attack with the target's unmodified Attack; the value becomes the unmodified Attack for both Pokémon. Unmodified Special Attack is averaged the same way.  This effect applies before any other persistent changes to unmodified Attack or Special Attack, such as flower gift during sunny day."
acid-spray,Inflicts regular damage.  Lowers the target's Special Defense by two stages.
dive,"Inflicts regular damage.  User dives underwater for one turn, becoming immune to attack, and hits on the second turn.  During the immune turn, surf, and whirlpool still hit the user normally, and their power is doubled if appropriate.  The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.  This move cannot be selected by sleep talk."
covet,"Inflicts regular damage.  If the target is holding an item and the user is not, the user will permanently take the item.  Damage is still inflicted if an item cannot be taken.  Pokémon with sticky hold or multitype are immune to the item theft effect.  The target cannot recover its item with recycle.  This move cannot be selected by assist or metronome."
sunny-day,"Changes the weather to sunshine for five turns, during which fire moves inflict 50% extra damage, and water moves inflict half damage.  If the user is holding heat rock, this effect lasts for eight turns.  Pokémon cannot become frozen.  thunder has 50% accuracy.  solar beam skips its charge turn.  moonlight, morning sun, and synthesis heal 2/3 of the user's max HP.  Pokémon with chlorophyll have doubled original Speed.  Pokémon with forecast become fire.  Pokémon with leaf guard are not affected by major status effects.  Pokémon with flower gift change form; every Pokémon on their side of the field have their original Attack and Special Attack increased by 50%.  Pokémon with dry skin lose 1/8 max HP at the end of each turn.  Pokémon with solar power have their original Special Attack raised by 50% but lose 1/8 their max HP at the end of each turn."
retaliate,"Inflicts regular damage.  If a friendly Pokémon fainted on the previous turn, this move has double power."
zen-headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
signal-beam,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.
hypnosis,Puts the target to sleep.
power-trick,The user's original Attack and Defense are swapped.  This effect is passed on by baton pass.
whirlwind,Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.  Doesn't affect Pokémon with suction cups or under the effect of ingrain.
focus-energy,"User's critical hit rate is two levels higher until it leaves the field.  If the user has already used focus energy since entering the field, this move will fail.  This effect is passed on by baton pass."
psybeam,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.
hyperspace-hole,Inflicts regular damage.  Bypasses and removes any protection effect on the target.
jaw-lock,"Inflicts regular damage, then (if successful) sets leech seed on the target."
smart-strike,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
feint,"Inflicts regular damage.  Removes the effects of detect or protect from the target before hitting.  This move cannot be copied by mirror move, nor selected by assist or metronome."
sand-tomb,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect."
core-enforcer,"Inflicts regular damage.  If the target has already moved this turn, its ability is nullified."
double-slap,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
dragon-hammer,Inflicts regular damage.
psycho-shift,"If the user has a major status effect and the target does not, the user's status is transferred to the target."
muddy-water,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's accuracy by one stage.
accelerock,Inflicts regular damage.
spikes,"Scatters spikes around the opposing field, which damage opposing Pokémon that enter the field for 1/8 of their max HP.  Pokémon immune to ground moves are immune to this damage, except during gravity.  Up to three layers of spikes may be laid down, adding 1/16 to the damage done: two layers of spikes damage for 3/16 max HP, and three layers damage for 1/4 max HP.  wonder guard does not block damage from this effect.  rapid spin removes this effect from its user's side of the field.  defog removes this effect from its target's side of the field."
power-gem,Inflicts regular damage.
tar-shot,"The user pours sticky tar over the target, lowering the target’s Speed stat. The target becomes weaker to Fire-type moves."
howl,Raises the user's Attack by one stage.
close-combat,"Inflicts regular damage, then lowers the user's Defense and Special Defense by one stage each."
sky-drop,"Inflicts regular damage.  User carries the target high into the air for one turn, during which no moves will hit either Pokémon and neither can act.  On the following turn, the user drops the target, inflicting damage and ending the effect.  If the target is flying-type, this move will function as normal but inflict no damage.  gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind can hit both the user and the target during this effect.  gust and twister will additionally have double power.  The damage from hail and sandstorm still applies during this effect.  Either Pokémon may be hit during this effect if also under the effect of lock on, mind reader, or no guard.  This move cannot be used while gravity is in effect.  This move cannot be selected by sleep talk.  *Bug*: If gravity is used during a double or triple battle while this move is in effect, this move is not correctly canceled on the target, and it remains high in the air indefinitely.  As this move prevents the target from acting, the only way to subsequently remove it from the field is to faint it."
sacred-fire,"Inflicts regular damage.  Has a $effect_chance% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw."
volt-tackle,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.  Has a $effect_chance% chance to paralyze the target.
giga-drain,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
bone-rush,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
rock-slide,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
meditate,Raises the user's Attack by one stage.
slack-off,Heals the user for half its max HP.
no-retreat,"Inflicts regular damage.  Hits twice in one turn, with a $effect_chance% chance to make the target flinch."
brutal-swing,Inflicts regular damage.
bubble,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Speed by one stage.
psychic-fangs,"Destroys any light screen or reflect on the target's side of the field, then inflicts regular damage."
false-surrender,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
play-nice,Lowers the target's Attack by one stage.
multi-attack,"Inflicts regular damage.  If the user is holding a plate or a drive, this move's type is the type corresponding to that item.  Note: This effect is technically shared by both techno blast and judgment; however, Techno Blast is only affected by drives, and Judgment is only affected by plates."
hyper-beam,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
vine-whip,Inflicts regular damage.
trump-card,"Inflicts regular damage.  Power is determined by the PP remaining for this move, after its PP cost is deducted.  Ignores accuracy and evasion modifiers.  PP remaining | Power ------------ | ----: 4 or more    |    40 3            |    50 2            |    60 1            |    80 0            |   200  If this move is activated by another move, the activating move's PP is used to calculate power."
magic-coat,"The first non-damaging move targeting the user this turn that inflicts major status effects, stat changes, or trapping effects will be reflected at its user.  defog, memento, and teeter dance are not reflected.  attract, flatter, gastro acid, leech seed, swagger, worry seed, and yawn are reflected.  This move cannot be copied by mirror move."
mach-punch,Inflicts regular damage.
relic-song,"Inflicts regular damage.  Has a $effect_chance% chance to put the target to sleep. If the user is a meloetta, it will toggle between Aria and Pirouette Forme."
dynamic-punch,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.
sweet-kiss,Confuses the target.
ion-deluge,Changes all Pokémon's normal moves to electric moves for the rest of the turn.
bite,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
karate-chop,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
tackle,Inflicts regular damage.
trick,"User and target permanently swap held items.  Works even if one of the Pokémon isn't holding anything.  If either Pokémon is holding mail, this move will fail.  If either Pokémon has multitype or sticky hold, this move will fail.  If this move results in a Pokémon obtaining choice band, choice scarf, or choice specs, and that Pokémon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move.  This applies even if both Pokémon had a choice item before this move was used.  If the first of the two Pokémon gains a choice item, it may select whatever choice move it wishes next turn.  Neither the user nor the target can recover its item with recycle.  This move cannot be selected by assist or metronome."
conversion,"User's type changes to the type of one of its moves, selected at random.  hidden power and weather ball are treated as normal.  Only moves with a different type are eligible, and curse is never eligible.  If the user has no suitable moves, this move will fail."
charm,Lowers the target's Attack by two stages.
frenzy-plant,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
hail,"Changes the weather to hail for five turns, during which non-ice Pokémon are damaged for 1/16 their max HP at the end of every turn.  If the user is holding icy rock, this effect lasts for eight turns.  blizzard has 100% accuracy.  If the target has used detect or protect, blizzard has a (100 - accuracy)% chance to break through the protection.  moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP.  Pokémon with snow cloak are exempt from this effect's damage."
thunder-cage,Inflicts regular damage.
coaching,Inflicts regular damage.
thunder-punch,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.
psych-up,Discards the user's stat changes and copies the target's.  This move cannot be copied by mirror move.
nasty-plot,Raises the user's Special Attack by two stages.
morning-sun,"Heals the user for half its max HP.  During sunny day, the healing is increased to 2/3 max HP.  During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP."
dragon-energy,Inflicts regular damage.
scratch,Inflicts regular damage.
burning-jealousy,Inflicts regular damage.
blue-flare,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.
slam,Inflicts regular damage.
oblivion-wing,Deals regular damage.  Drains 75% of the damage inflicted to heal the user.
gear-up,Raises the Attack and Special Attack of all friendly Pokémon with plus or minus by one stage.
bone-club,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
drill-peck,Inflicts regular damage.
trop-kick,Inflicts regular damage.  Lowers the target's Attack by one stage.
guillotine,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.  Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.  The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
flail,Inflicts regular damage.  Power varies inversely with the user's proportional remaining HP.  64 * current HP / max HP | Power -----------------------: | ----:  0– 1                    |  200  2– 5                    |  150  6–12                    |  100 13–21                    |   80 22–42                    |   40 43–64                    |   20 
double-hit,Inflicts regular damage.  Hits twice in one turn.
shell-smash,"Raises the user's Attack, Special Attack, and Speed by two stages each.  Lowers the user's Defense and Special Defense by one stage each."
electro-ball,"Inflicts regular damage.  The greater the user's Speed compared to the target's, the higher power this move has, to a maximum of 150.  User's Speed                     | Power -------------------------------- | ----: Up to 2× the target's Speed      |    60 Up to 3× the target's Speed      |    80 Up to 4× the target's Speed      |   120 More than 4× the target's Speed  |   150 "
dark-void,Puts the target to sleep.
helping-hand,"Boosts the power of the target's moves by 50% until the end of this turn.  This move cannot be copied by mirror move, nor selected by assist or metronome."
crabhammer,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
spore,Puts the target to sleep.
telekinesis,"For three turns (including this one), moves used against the target have 100% accuracy, but the target is immune to ground damage.  Accuracy of one-hit KO moves is exempt from this effect.  This effect is removed by gravity.  If Gravity is already in effect, this move will fail."
avalanche,"Inflicts regular damage.  If the target damaged the user this turn and was the last to do so, this move has double power.  pain split does not count as damaging the user."
extreme-speed,Inflicts regular damage.
sleep-talk,"Only usable if the user is sleeping.  Randomly selects and uses one of the user's other three moves.  Use of the selected move requires and costs 0 PP.  This move will not select assist, bide, bounce, chatter, copycat, dig, dive, fly, focus punch, me first, metronome, mirror move, shadow force, skull bash, sky attack, sky drop, sleep talk, solar beam, razor wind, or uproar.  If the selected move requires a recharge turn—i.e., one of blast burn, frenzy plant, giga impact, hydro cannon, hyper beam, roar of time, or rock wrecker—and the user is still sleeping next turn, then it's forced to use this move again and pay another PP for the recharge turn.  This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
steel-beam,"Inflicts damage, and the user takes damage equal to half of its max HP, rounded up. The user still takes damage if the move is blocked by Protect or Substitute, misses, or if the target has Flash Fire."
blast-burn,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
wood-hammer,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.
trick-or-treat,Adds ghost to the target's types.
thousand-arrows,Inflicts regular damage.  Grounds the target until it leaves battle.  Ignores levitation effects and the immunity of flying-type Pokémon.
guard-swap,User swaps its Defense and Special Defense modifiers with the target.
aqua-jet,Inflicts regular damage.
psyshock,"Inflicts regular damage.  Damage calculation always uses the target's Defense, regardless of this move's damage class."
spit-up,"Inflicts regular damage.  Power is equal to 100 times the amount of energy stored by stockpile.  Ignores the random factor in the damage formula.  Stored energy is consumed, and the user's Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail.  This move cannot be copied by mirror move."
judgment,"Inflicts regular damage.  If the user is holding a plate or a drive, this move's type is the type corresponding to that item.  Note: This effect is technically shared by both techno blast and judgment; however, Techno Blast is only affected by drives, and Judgment is only affected by plates."
headbutt,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.
focus-punch,"Inflicts regular damage.  If the user takes damage this turn before hitting, this move will fail.  This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
fury-attack,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
power-swap,User swaps its Attack and Special Attack stat modifiers modifiers with the target.
poison-tail,Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a $effect_chance% chance to poison the target.
feather-dance,Lowers the target's Attack by two stages.
pyro-ball,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.
wide-guard,"Moves with multiple targets will not hit friendly Pokémon for the remainder of this turn.  If the user is last to act this turn, this move will fail.  This move cannot be selected by assist or metronome."
cross-poison,Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a $effect_chance% chance to poison the target.
power-up-punch,Inflicts regular damage.  Raises the user's Attack by one stage.
shadow-punch,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
attack-order,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
pain-split,Changes the user's and target's remaining HP to the average of their current remaining HP.  Ignores accuracy and evasion modifiers.  This effect does not count as inflicting damage for other moves and effects that respond to damage taken.  This effect fails against a substitute.
dual-chop,Inflicts regular damage.  Hits twice in one turn.
energy-ball,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.
razor-leaf,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
round,"Inflicts regular damage.  If round has already been used this turn, this move's power is doubled.  After this move is used, any other Pokémon using it this turn will immediately do so (in the order they would otherwise act), regardless of Speed or priority.  Pokémon using other moves will then continue to act as usual."
bounce,"Inflicts regular damage.  User bounces high into the air for one turn, becoming immune to attack, and hits on the second turn.  Has a $effect_chance% chance to paralyze the target.  During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, and twister still hit the user normally.  gust and twister also have double power against the user.  The damage from hail and sandstorm still applies during the immune turn.  The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.  This move cannot be used while gravity is in effect.  This move cannot be selected by sleep talk."
entrainment,Changes the target's ability to match the user's.  This effect ends when the target leaves battle.
electroweb,Lowers the target's Speed by one stage.
psychic,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.
megahorn,Inflicts regular damage.
defend-order,Raises the user's Defense and Special Defense by one stage.
body-slam,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.
explosion,"User faints, even if the attack fails or misses.  Inflicts regular damage."
iron-tail,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Defense by one stage.
magical-leaf,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
flash-cannon,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.
disable,"Disables the target's last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the field.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed,  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail."
spectral-thief,"Steals the target's stat increases, then inflicts regular damage.  Will not steal stat increases that would put any of the user's stats at more than +6; any excess is left on the target.  Stolen increases are affected by abilities as normal."
wring-out,"Inflicts regular damage.  Power directly relates to the target's relative remaining HP, given by `1 + 120 * current HP / max HP`, to a maximum of 121."
work-up,Raises the user's Attack and Special Attack by one stage each.
lunge,Inflicts regular damage.  Lowers the target's Attack by one stage.
leaf-storm,"Inflicts regular damage, then lowers the user's Special Attack by two stages."
solar-beam,"Inflicts regular damage.  User charges for one turn before attacking.  During sunny day, the charge turn is skipped.  During hail, rain dance, or sandstorm, power is halved.  This move cannot be selected by sleep talk."
aqua-ring,"Restores 1/16 of the user's max HP at the end of each turn.  If the user leaves the field, this effect ends.  This effect is passed on by baton pass."
